smiles,cation_name,cation_smiles,anion_name,anion_smiles,molecular_weight
CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])O,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,HSO4,[O-]S(O)(=O)=O,264.347
CCCCCC[n+]1ccn(C)c1.NCC(=O)[O-],IM-C1-C6,CCCCCC[n+]1ccn(C)c1,Gly,[NH2]CC([O-])=O,241.33499999999995
CCCCCC[n+]1ccn(C)c1.O=C([O-])C1CCCN1,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,Pro,[O-]C(=O)C1CCCN1,281.4
CC(O)C(=O)[O-].CCCCCC[n+]1ccn(C)c1,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,Lac,CC(O)C([O-])=O,256.346
CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,TFA,[O-]C(=O)C(F)(F)F,280.28999999999996
CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,BETI,[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,547.4370000000001
CCCCCC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,FSI,[N-](S(=O)(=O)F)S(=O)(=O)F,347.40900000000005
CCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,B(CN)4,[B-](C#N)(C#N)(C#N)C#N,282.16
CCCCCC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,DEP,CCOP([O-])(=O)OCC,320.37000000000006
CCCCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],IM-C1-C6,CCCCCC[n+]1ccn(C)c1,MeSO3,CS([O-])(=O)=O,262.375
CCCCCC[n+]1ccn(C)c1.O=C[O-],IM-C1-C6,CCCCCC[n+]1ccn(C)c1,Formate,[O-]C=O,212.29299999999998
CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1,IM-C1-C6,CCCCCC[n+]1ccn(C)c1,Benzoate,[O-]C(=O)c1ccccc1,288.39099999999996
CCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,IM-C1-C7,CCCCCCC[n+]1ccn(C)c1,NTf2,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,461.4500000000001
CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,IM-C1-C7,CCCCCCC[n+]1ccn(C)c1,BF4,F[B-](F)(F)F,268.107
CCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,IM-C1-C7,CCCCCCC[n+]1ccn(C)c1,PF6,F[P-](F)(F)(F)(F)F,326.265
CCCCCCC[n+]1ccn(C)c1.[Cl-],IM-C1-C7,CCCCCCC[n+]1ccn(C)c1,Cl,[Cl-],216.75600000000003
CCCCCCC[n+]1ccn(C)c1.[Br-],IM-C1-C7,CCCCCCC[n+]1ccn(C)c1,Br,[Br-],261.207
CCCCCCC[n+]1ccn(C)c1.N#C[N-]C#N,IM-C1-C7,CCCCCCC[n+]1ccn(C)c1,DCA,N#C[N-]C#N,247.34600000000003
CCCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,IM-C1-C7,CCCCCCC[n+]1ccn(C)c1,TCM,[C-](C#N)(C#N)C#N,271.36800000000005
